team,1h,1a,2h,2a,3h,3a,4h,4a
0,6,4,17,11,22,23,33,35
1,5,3,15,12,18,19,29,27
2,3,8,13,16,21,18,27,30
3,1,2,10,14,20,22,32,33
4,0,7,9,17,23,20,31,32
5,7,1,14,9,24,25,28,29
6,8,0,16,15,26,21,34,31
7,4,5,12,10,19,26,30,34
8,2,6,11,13,25,24,35,28
9,5,4,17,10,22,18,29,35
10,7,3,9,13,23,22,27,29
11,0,8,14,16,26,25,34,33
12,1,7,13,15,20,23,33,30
13,8,2,10,12,18,24,31,28
14,3,5,16,11,21,19,28,32
15,6,1,12,17,19,26,30,34
16,2,6,11,14,25,20,35,31
17,4,0,15,9,24,21,32,27
18,2,1,9,13,22,23,29,32
19,1,7,14,15,23,20,31,34
20,4,3,16,12,19,24,32,35
21,6,2,17,14,26,22,28,27
22,3,0,10,9,21,18,35,29
23,0,4,12,10,18,19,34,31
24,8,5,13,17,20,25,33,28
25,5,8,11,16,24,26,30,33
26,7,6,15,11,25,21,27,30
27,1,2,17,10,21,26,33,32
28,8,5,13,14,24,21,30,31
29,5,1,10,9,22,18,35,33
30,2,7,12,15,26,25,31,28
31,6,4,16,13,23,19,28,30
32,4,3,14,17,18,20,27,34
33,3,0,11,12,25,24,29,27
34,7,6,15,11,19,23,32,35
35,0,8,9,16,20,22,34,29
